# audited Stellar commit
bd0f4540b2496a57314e4e29bc6fcf8ff691b60f
# audited Xaman commit
01e2538b08efa2c960233911fad02633f31ce6cd
area	path	classification	stellar_blob	xaman_blob	evidence	handling
freighter	src/freighter/adapters/__tests__/xamanFreighterAdapter.test.ts	Stellar modified derivative	3a011498f5816ad750c2e277c0375c730aa1566a		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/adapters/xamanFreighterAdapter.ts	Stellar modified derivative	2f94ca24614b35142eb6838bfa2491287a2df5f3		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/constants/errors.ts	Stellar modified derivative	491f56d433e9e7648135e5f7e6bf804593bda5c8		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/constants/networkMapping.ts	Stellar modified derivative	f1206c75c3e9edde79e3f9780c32313d29c7d306		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/helpers/__tests__/accountHelper.test.ts	Stellar modified derivative	6e6ed3a69ede6f9d8b3a55336d31114cafd8403c		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/helpers/__tests__/signatureHelper.test.ts	Stellar modified derivative	666b1dd4789914015103be46aa03a9602ed26a02		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/helpers/accountHelper.ts	Stellar modified derivative	d979b0738a446d243099e9b0392d41763002167a		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/helpers/networkHelper.ts	Stellar modified derivative	3b9fd35f21fe10cfd5efca5a545e3ed3851ca7dd		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/helpers/signatureHelper.ts	Stellar modified derivative	c9c6c71f597fe3627ab9279ef26276bee4dc449b		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/helpers/stellarHelper.ts	Stellar modified derivative	8b3b7fa34c12f71152bf0ebfb6660fcdccbd49ec		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
freighter	src/freighter/shared/api/types/index.ts	Stellar modified derivative	eea524d655708d7561b53642ce62e241627eece6		no same path in audited Xaman commit; independent ownership not proven	clean-room behavior rewrite; direct migration requires approval record
